ReservoirName,EffectiveCapacity,CatchmentAreaRainfall,InflowVolume,OutflowTotal,RecordTime,WaterLevel,EffectiveWaterStorageCapacity,WaterStorageRate,Application,Area,Location,Type
石門水庫,20266.1,0.4,139.0,164.31,2021-12-01,244.96,20232.06,99.83,灌溉、公共給水、發電、防洪、觀光,臺灣北區,桃園市龍潭區、大溪區、復興區,土石壩
西勢水庫,43.69,0.0,4.31,4.58,2021-12-01,72.06,43.5,99.57,公共給水,臺灣北區,基隆巿暖暖區,混凝土重力壩
新山水庫,1002.0,0.0,0.98,0.0,2021-12-01,84.81,915.69,91.39,公共給水,臺灣北區,基隆巿安樂區,土石壩
翡翠水庫,33550.5,0.0,202.9,466.3,2021-12-01,167.22,30981.72,92.34,公共給水、發電、防洪,臺灣北區,新北市新店區,混凝土拱壩
榮華壩,,0.4,177.9,177.9,2021-12-01,,,,,,,
青潭堰,69.6,0.5,938.3,938.3,2021-12-01,22.47,67.3,96.7,,,,
直潭壩,191.89,0.5,633.18,633.18,2021-12-01,44.54,180.43,94.03,公共給水,臺灣北區,新北市新店區,混凝土堰
寶山水庫,503.5,0.0,0.87,3.58,2021-12-01,140.5,441.64,87.71,公共給水,臺灣北區,新竹縣寶山鄉,滾壓式土壩
寶山第二水庫,3147.18,0.0,11.56,24.59,2021-12-01,147.3,2753.06,87.48,公共給水、工業用水,臺灣北區,新竹縣寶山鄉,中央心層分土壩
永和山水庫,2998.94,0.0,2.1,11.7,2021-12-01,82.34,2549.43,85.01,公共給水,臺灣中區,苗栗縣頭份鎮、三灣鄉,滾壓式土壩
大埔水庫,529.9,0.0,4.32,4.32,2021-12-01,67.9,325.55,61.44,灌溉、工業用水、防洪,臺灣中區,新竹縣峨眉鄉,混凝土重力壩
明德水庫,1222.05,0.0,0.91,4.61,2021-12-01,57.36,723.68,59.22,公共給水、灌溉、工業用水、觀光,臺灣中區,苗栗縣頭屋鄉,滾壓式土壩
鯉魚潭水庫,11446.01,0.0,34.47,34.44,2021-12-01,296.23,9869.11,86.22,公共給水、灌溉、觀光,臺灣中區,苗栗縣卓蘭鎮大湖鄉,滾壓式土石壩
